Date,Open,High,Low,Close,Volume
2021-01-01,1988.0,1997.0,1982.0,1987.5,4622002
2021-01-04,1995.1,1998.9,1968.0,1990.85,11312992
2021-01-05,1969.0,1983.6,1956.0,1966.1,11132803
2021-01-06,1965.9,1966.0,1905.15,1914.25,21414270
2021-01-07,1920.5,1945.0,1905.15,1911.15,14918406
2021-01-08,1918.0,1938.4,1912.1,1933.7,12709792
2021-01-11,1938.8,1938.8,1892.5,1897.25,15371556
2021-01-12,1903.0,1960.0,1899.9,1957.05,18996047
2021-01-13,1963.55,1974.95,1918.45,1938.8,12284876
2021-01-14,1945.0,1966.9,1939.05,1960.6,9946818
2021-01-15,1960.6,1973.8,1920.05,1937.45,9503790
2021-01-18,1949.1,1997.0,1923.35,1983.95,16198856
2021-01-19,1994.65,2031.0,1994.65,2016.4,14771048
2021-01-20,2021.4,2058.0,2001.4,2054.7,14271669
2021-01-21,2082.0,2120.0,2075.0,2099.4,18038987
2021-01-22,2111.0,2115.35,2035.15,2049.6,14090818
2021-01-25,2034.95,2034.95,1932.0,1941.0,25016570
2021-01-27,1925.0,1925.0,1888.0,1895.0,19553809
2021-01-28,1880.15,1923.3,1870.0,1876.55,15722291
2021-01-29,1894.3,1913.1,1830.0,1841.95,20173258
2021-02-01,1859.4,1905.0,1848.0,1895.3,15774504
2021-02-02,1914.25,1940.0,1854.95,1925.8,19138414
2021-02-03,1928.3,1952.0,1900.0,1930.65,13984228
2021-02-04,1924.0,1940.0,1905.0,1924.3,11826848
2021-02-05,1930.05,1944.65,1920.0,1923.75,9344470
2021-02-08,1933.05,1969.0,1929.05,1951.45,9776136
2021-02-09,1961.95,1989.6,1952.3,1956.15,9047308
2021-02-10,1953.75,1984.75,1927.3,1974.3,9799560
2021-02-11,1980.0,2064.2,1972.25,2055.7,19631870
2021-02-12,2055.5,2078.0,2015.4,2041.6,14074374
2021-02-15,2048.05,2061.3,2025.0,2032.6,7287590
2021-02-16,2039.75,2079.4,2035.0,2059.5,9886093
2021-02-17,2060.0,2095.95,2050.6,2083.25,10957388
2021-02-18,2085.0,2108.4,2059.1,2067.7,8605531
2021-02-19,2057.0,2104.95,2053.3,2080.3,10800704
2021-02-22,2080.0,2089.9,1994.95,2008.1,10985697
2021-02-23,2048.0,2052.9,2013.6,2023.45,11834752
2021-02-24,2030.0,2065.25,2026.15,2061.0,4987735
2021-02-25,2076.0,2152.0,2073.0,2144.35,16085897
2021-02-26,2117.0,2133.9,2070.7,2085.8,17297575
2021-03-01,2110.2,2112.0,2062.5,2101.7,8159670
2021-03-02,2122.0,2130.0,2089.1,2106.0,7915073
2021-03-03,2121.05,2219.9,2107.2,2202.1,14733134
2021-03-04,2180.0,2189.95,2157.7,2175.85,9892597
2021-03-05,2156.0,2211.95,2153.05,2178.7,11773630
2021-03-08,2168.5,2231.9,2168.0,2191.1,9002404
2021-03-09,2200.0,2213.8,2146.6,2191.05,6993792
2021-03-10,2207.0,2215.1,2170.25,2181.95,5316182
2021-03-12,2195.0,2206.4,2123.9,2137.6,7783173
2021-03-15,2140.05,2148.9,2080.5,2108.9,7706302
2021-03-16,2114.0,2126.0,2095.5,2100.6,6402757
2021-03-17,2098.05,2103.0,2035.1,2055.35,8865521
2021-03-18,2072.9,2084.8,2001.0,2009.1,9528809
2021-03-19,1991.0,2095.85,1982.8,2082.0,19284892
2021-03-22,2071.0,2074.0,2033.2,2062.4,8571196
2021-03-23,2061.95,2109.7,2056.0,2087.5,8039865
2021-03-24,2079.75,2079.75,2040.4,2047.3,7763726
2021-03-25,2054.0,2054.0,1985.0,1991.45,10153757
2021-03-26,2012.0,2013.7,1973.7,1994.65,9313160
2021-03-30,2008.0,2048.9,1991.55,2029.3,9433850
2021-03-31,2018.0,2049.9,1999.0,2003.1,7499740
2021-04-01,2018.0,2030.0,2003.15,2021.85,5410307
2021-04-05,2024.95,2025.0,1962.1,1992.6,6864856
2021-04-06,2004.0,2004.95,1969.0,1984.3,6465241
2021-04-07,2000.0,2046.9,1993.3,2002.85,11198918
2021-04-08,2011.0,2022.0,1993.0,2005.35,7092878
2021-04-09,1998.45,2006.35,1980.0,1982.05,6478482
2021-04-12,1959.0,1961.4,1900.25,1911.15,9646031
2021-04-13,1924.0,1940.6,1917.85,1931.8,8958261
2021-04-15,1926.3,1961.0,1913.0,1944.3,9102492
2021-04-16,1936.6,1949.9,1926.45,1932.1,7225679
2021-04-19,1904.0,1916.4,1890.0,1901.7,8527967
2021-04-20,1910.5,1919.0,1890.45,1901.15,7939490
2021-04-22,1892.25,1914.45,1876.7,1906.4,6687573
2021-04-23,1906.0,1918.9,1895.35,1904.35,5459016
2021-04-26,1920.0,1962.0,1911.5,1937.85,9620785
2021-04-27,1940.0,1997.2,1938.25,1988.65,9226547
2021-04-28,1997.85,2008.0,1980.15,1997.3,7902002
2021-04-29,2022.9,2044.5,2007.3,2024.05,8035915
2021-04-30,2008.5,2036.0,1987.55,1994.5,9150974
