Date,Open,High,Low,Close,Volume
2021-01-01,2880.0,2940.0,2879.0,2928.25,2681440
2021-01-04,2950.0,3050.75,2940.95,3039.45,5113293
2021-01-05,3039.6,3114.25,3039.6,3093.0,5801309
2021-01-06,3100.0,3113.5,3037.2,3051.5,3726716
2021-01-07,3075.0,3080.85,3000.25,3032.8,3717827
2021-01-08,3090.0,3128.0,3060.0,3120.9,5879039
2021-01-11,3230.0,3230.0,3146.55,3176.45,9508039
2021-01-12,3176.45,3210.0,3150.0,3174.85,3611458
2021-01-13,3175.0,3177.0,3126.25,3158.95,3572801
2021-01-14,3155.0,3266.5,3120.4,3250.7,6931542
2021-01-15,3235.0,3274.0,3210.0,3233.35,4131692
2021-01-18,3250.0,3256.75,3187.4,3221.75,4160906
2021-01-19,3233.0,3279.0,3232.0,3260.7,2975735
2021-01-20,3270.0,3327.95,3267.1,3308.8,3453446
2021-01-21,3305.0,3309.15,3262.1,3273.85,2778546
2021-01-22,3241.9,3325.0,3241.9,3303.1,3052459
2021-01-25,3308.95,3339.8,3278.65,3291.3,2272887
2021-01-27,3300.0,3306.45,3227.0,3261.05,2786662
2021-01-28,3230.0,3275.0,3183.8,3196.55,3083938
2021-01-29,3210.05,3216.85,3100.0,3111.35,5445659
2021-02-01,3100.0,3165.0,3044.1,3139.35,3985846
2021-02-02,3174.0,3224.0,3150.0,3203.45,2881837
2021-02-03,3213.0,3236.0,3162.65,3200.05,2505866
2021-02-04,3216.05,3237.85,3176.0,3188.45,2057261
2021-02-05,3198.95,3205.85,3129.0,3157.95,2366135
2021-02-08,3189.5,3226.0,3155.15,3214.1,2526592
2021-02-09,3195.0,3245.8,3164.0,3176.9,2658751
2021-02-10,3185.0,3219.4,3157.3,3213.3,2127983
2021-02-11,3215.0,3219.3,3185.05,3206.0,1165882
2021-02-12,3184.2,3245.5,3182.0,3190.8,2777404
2021-02-15,3209.0,3209.0,3131.55,3139.85,2630853
2021-02-16,3150.0,3167.65,3100.0,3108.8,3435770
2021-02-17,3105.1,3132.85,3045.55,3073.1,3678426
2021-02-18,3065.0,3097.9,3031.0,3057.35,4189909
2021-02-19,3058.0,3087.15,3016.15,3071.85,3725028
2021-02-22,3096.0,3096.0,2943.15,2958.45,5366696
2021-02-23,2970.0,3028.0,2968.0,2980.2,3832829
2021-02-24,2972.0,3003.35,2921.15,2948.1,3774549
2021-02-25,2974.0,3029.9,2968.45,2995.3,4224073
2021-02-26,2960.0,2972.35,2880.0,2894.3,5553153
2021-03-01,2926.0,2965.0,2901.8,2924.2,3265871
2021-03-02,2960.0,3025.0,2948.0,3006.35,3306469
2021-03-03,3035.0,3064.0,2996.9,3059.1,3509857
2021-03-04,3023.0,3081.45,3016.05,3049.7,3916760
2021-03-05,3016.1,3063.2,2996.6,3008.05,3203686
2021-03-08,3016.0,3033.0,2996.0,3006.95,2003125
2021-03-09,3006.95,3066.9,2992.1,3050.95,1942397
2021-03-10,3075.0,3093.2,3060.0,3070.95,3053778
2021-03-12,3075.0,3117.0,3041.35,3057.95,2938317
2021-03-15,3041.0,3099.0,3041.0,3066.15,3097140
2021-03-16,3060.0,3141.0,3060.0,3110.05,4894756
2021-03-17,3105.0,3155.0,3085.3,3112.95,3838390
2021-03-18,3125.95,3146.45,2987.05,3036.5,3656306
2021-03-19,3030.0,3099.0,3005.0,3050.2,5776626
2021-03-22,3048.7,3139.45,3018.65,3129.65,2821646
2021-03-23,3140.0,3169.0,3122.85,3142.6,3305973
2021-03-24,3111.2,3152.3,3111.15,3121.1,2207104
2021-03-25,3112.2,3130.85,3050.0,3064.85,3179786
2021-03-26,3090.65,3118.0,3043.05,3066.8,3697370
2021-03-30,3083.0,3188.45,3060.9,3158.55,4694261
2021-03-31,3155.0,3205.0,3132.0,3177.85,3530069
2021-04-01,3191.1,3215.0,3145.0,3165.0,4285076
2021-04-05,3171.0,3263.0,3151.0,3238.9,5317862
2021-04-06,3275.0,3275.0,3230.0,3264.7,2291562
2021-04-07,3259.0,3277.55,3234.8,3271.4,2491268
2021-04-08,3270.0,3335.0,3266.05,3317.35,2578118
2021-04-09,3354.0,3354.35,3308.0,3322.25,2911129
2021-04-12,3322.25,3338.1,3213.2,3246.55,3791828
2021-04-13,3214.0,3214.0,3073.05,3104.05,8654596
2021-04-15,3160.3,3237.25,3087.45,3218.95,6062760
2021-04-16,3229.0,3247.0,3182.6,3195.15,3224657
2021-04-19,3169.0,3189.0,3135.1,3161.8,2679106
2021-04-20,3225.0,3225.35,3126.35,3144.55,3141893
2021-04-22,3148.0,3148.0,3105.25,3118.8,1988980
2021-04-23,3105.0,3119.0,3091.05,3109.5,1615309
2021-04-26,3102.05,3153.0,3088.05,3100.8,2490260
2021-04-27,3106.0,3136.1,3103.0,3132.0,1471417
2021-04-28,3149.95,3151.0,3112.0,3124.1,1639037
2021-04-29,3145.6,3157.35,3105.5,3115.25,1621395
2021-04-30,3099.0,3132.05,3020.0,3035.65,3072305
